TimeStamp,SpotPrice,InstanceType,OS type,AvailabilityZone
2014-03-26 07:15:21,2.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 08:19:05,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 09:53:10,2.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 09:56:43,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 10:09:09,2.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 10:12:43,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 10:41:17,2.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 10:55:33,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 10:59:09,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 19:38:13,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 19:40:01,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 20:34:14,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-26 20:50:32,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 00:35:58,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 00:46:50,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 00:54:04,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 01:58:02,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 01:59:52,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:03:32,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:10:55,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:16:28,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:22:00,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:25:47,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:38:38,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 02:49:39,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 03:02:30,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 03:04:21,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 04:32:31,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 04:38:01,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 04:41:40,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 04:49:00,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 04:59:58,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 05:03:40,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 05:29:20,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 05:38:25,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 07:37:18,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 07:39:07,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 08:35:13,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 08:44:16,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 08:51:32,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 08:55:09,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 11:04:30,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 11:24:38,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 12:16:01,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 12:17:52,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 12:32:33,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 12:38:03,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 19:13:33,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 19:15:22,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 19:28:16,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 19:53:47,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-27 20:08:18,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
