,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
502,ap-southeast-1,g2.2xlarge,1,0.702,0.772,0.716,0.632,0.695,0.645,0.464,0.494
503,ap-northeast-1,g2.2xlarge,0.898,0.587,0.678,0.599,0.528,0.610,0.539,0.417,0.443
504,ap-southeast-2,g2.2xlarge,0.898,0.587,0.678,0.599,0.528,0.610,0.539,0.417,0.443
505,us-east-1,g2.8xlarge,2.6,1.588,1.896,1.621,1.429,1.706,1.459,1.128,1.200
506,us-west-2,g2.8xlarge,2.6,1.588,1.896,1.621,1.429,1.706,1.459,1.128,1.200
507,us-west-1,g2.8xlarge,2.808,1.722,2.056,1.758,1.550,1.850,1.582,1.220,1.298
508,eu-west-1,g2.8xlarge,2.808,1.722,2.056,1.758,1.550,1.850,1.582,1.220,1.298
509,eu-central-1,g2.8xlarge,3.088,1.895,2.260,1.935,1.705,2.034,1.741,1.342,1.426
510,ap-southeast-1,g2.8xlarge,4,2.808,3.088,2.866,2.527,2.779,2.579,1.857,1.975
511,ap-northeast-1,g2.8xlarge,3.592,2.347,2.712,2.395,2.112,2.441,2.156,1.667,1.773
512,ap-southeast-2,g2.8xlarge,3.592,2.347,2.712,2.395,2.112,2.441,2.156,1.667,1.773
513,us-east-1,cg1.4xlarge,2.1,,,,,,,,
514,eu-west-1,cg1.4xlarge,2.36,,,,,,,,
515,us-east-1,p2.xlarge,0.9,0.573,0.684,0.585,0.516,0.616,0.526,0.399,0.425
516,us-west-2,p2.xlarge,0.9,0.573,0.684,0.585,0.516,0.616,0.526,0.399,0.425
517,eu-west-1,p2.xlarge,0.972,0.621,0.742,0.634,0.559,0.668,0.571,0.432,0.460
518,us-east-1,p2.8xlarge,7.2,4.586,5.476,4.680,4.128,4.928,4.212,3.196,3.400
519,us-west-2,p2.8xlarge,7.2,4.586,5.476,4.680,4.128,4.928,4.212,3.196,3.400
520,eu-west-1,p2.8xlarge,7.776,4.971,5.934,5.072,4.474,5.341,4.565,3.459,3.680
521,us-east-1,p2.16xlarge,14.4,9.173,10.951,9.360,8.256,9.856,8.424,6.392,6.800
