,AvailabilityZone,InstanceType,Max,Mean,Median,Min,STD,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
54,us-west-2c,c3.8xlarge,1.1277724770642208,0.52787045856633,0.5227544714765102,0.3319583333333333,0.13878001673480625,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
55,ap-northeast-1a,m1.small,0.03737848101265822,0.027700910405069244,0.027399999999999994,0.025500000000000002,0.0020129877619021247,0.061,0.032,0.037000000000000005,0.032,,,,0.021,0.022000000000000002
56,ap-northeast-1c,m1.small,0.035,0.02770098020393362,0.0254,0.025149999999999995,0.0040467903303962535,0.061,0.032,0.037000000000000005,0.032,,,,0.021,0.022000000000000002
57,ap-southeast-1a,m1.small,0.02548571428571428,0.023960194967448445,0.02514615384615385,0.0201,0.002017248224360804,0.057999999999999996,0.033,0.039,0.033,,,,0.021,0.022000000000000002
58,ap-southeast-1b,m1.small,0.02525,0.022973971715123123,0.025099999999999997,0.0201,0.0024475754314457966,0.057999999999999996,0.033,0.039,0.033,,,,0.021,0.022000000000000002
59,ap-southeast-2a,m1.small,0.026050000000000007,0.02529656632029607,0.025849999999999998,0.0201,0.0015688233603635023,0.057999999999999996,0.033,0.039,0.033,,,,0.021,0.022000000000000002
60,ap-southeast-2b,m1.small,0.026246666666666665,0.024709268783743573,0.02545,0.0201,0.0019918680714834285,0.057999999999999996,0.033,0.039,0.033,,,,0.021,0.022000000000000002
61,eu-west-1a,m1.small,0.0321,0.02714851073399026,0.02564,0.025300000000000003,0.00281653050466388,0.047,0.028999999999999998,0.034,0.03,,,,0.019,0.02
62,eu-west-1b,m1.small,0.0321,0.0292340448625178,0.0321,0.025099999999999997,0.003442422934794291,0.047,0.028999999999999998,0.034,0.03,,,,0.019,0.02
63,eu-west-1c,m1.small,0.0321,0.028482320308731074,0.027433333333333327,0.025099999999999997,0.0033443885853360767,0.047,0.028999999999999998,0.034,0.03,,,,0.019,0.02
64,us-east-1a,m1.small,0.022699999999999998,0.020209126664679344,0.02121,0.0171,0.0022850630143851232,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
65,us-east-1c,m1.small,0.022699999999999998,0.019228640681260793,0.018355555555555556,0.0171,0.0020964975661839566,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
66,us-east-1d,m1.small,0.022400000000000003,0.019596858481876075,0.0192,0.0171,0.0021834652094544884,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
67,us-west-1b,m1.small,0.02791,0.02318134823216825,0.023450000000000002,0.02,0.0010435490935792626,0.047,0.028999999999999998,0.034,0.03,,,,0.019,0.02
68,us-west-1c,m1.small,0.0232,0.02230628298702181,0.023100000000000002,0.02,0.0013092065732396693,0.047,0.028999999999999998,0.034,0.03,,,,0.019,0.02
69,us-west-2a,m1.small,0.0261,0.024529533056300235,0.0261,0.016300000000000002,0.0032274012877525327,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
70,us-west-2b,m1.small,0.026528571428571426,0.023355403858081047,0.0261,0.0162,0.004077993781035905,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
71,us-west-2c,m1.small,0.0262,0.02282630143980367,0.025314285714285713,0.016300000000000002,0.00391779194588624,0.044000000000000004,0.024,0.027999999999999997,0.024,,,,0.015,0.016
72,ap-northeast-1a,x1.16xlarge,9.721,1.8153418534558825,1.36145,1.017,1.234441168964308,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
73,ap-northeast-1c,x1.16xlarge,9.821000000000002,3.3078384143255133,3.3911999999999995,1.017,1.6080128438486867,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
74,ap-northeast-2a,x1.16xlarge,96.71,7.372095875933995,1.2511999999999999,0.967,16.818204437426207,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
75,ap-northeast-2c,x1.16xlarge,96.71,7.663542498489075,1.192222222222222,0.967,17.662214294014728,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
76,ap-southeast-1a,x1.16xlarge,65.0305,3.7516929985296064,3.1912,1.017,5.763892153671506,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
77,ap-southeast-1b,x1.16xlarge,65.0305,3.467663540460485,2.859171428571428,1.017,5.711583944235481,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
78,ap-southeast-2b,x1.16xlarge,4.3033,2.431821304493704,2.62265,1.017,0.8785457568890485,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
79,ap-southeast-2c,x1.16xlarge,4.2783,2.699110131065708,2.62265,1.017,0.7806003162105747,9.671,5.562,6.64,5.675,5.005,5.976,5.1080000000000005,2.7060000000000004,2.8789999999999996
80,eu-central-1a,x1.16xlarge,5.816,2.063183691609967,1.5222,0.983,1.05426707945656,9.337,5.37,6.412000000000001,5.48,4.833,5.77,4.9319999999999995,2.612,2.779
81,eu-central-1b,x1.16xlarge,3.877,1.5654692736792846,1.1077,0.983,1.0159172468409332,9.337,5.37,6.412000000000001,5.48,4.833,5.77,4.9319999999999995,2.612,2.779
82,eu-west-1a,x1.16xlarge,109.47,7.048578047619142,3.5575,0.8500000000000001,18.772183001817574,8.003,4.603,5.495,4.697,4.143,4.946000000000001,4.227,2.239,2.3819999999999997
83,eu-west-1b,x1.16xlarge,3.8076,1.4145392794671567,0.984175,0.8500000000000001,0.8642058517837446,8.003,4.603,5.495,4.697,4.143,4.946000000000001,4.227,2.239,2.3819999999999997
84,eu-west-1c,x1.16xlarge,4.05,1.6495469166244419,1.0343499999999999,0.8500000000000001,1.1058230145353334,8.003,4.603,5.495,4.697,4.143,4.946000000000001,4.227,2.239,2.3819999999999997
85,us-east-1a,x1.16xlarge,4.40952142857143,1.614635006279373,1.2890999999999997,0.716,0.9294943868466327,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
86,us-east-1c,x1.16xlarge,3.61,1.2638057635215687,1.0946333333333333,0.716,0.6384360003437701,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
87,us-east-1d,x1.16xlarge,3.702522222222222,1.2686036622994101,0.9965055555555555,0.716,0.6747645386224804,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
88,us-west-2a,x1.16xlarge,3.6649,1.1422319438623054,0.9521000000000001,0.716,0.6200422269369336,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
89,us-west-2b,x1.16xlarge,96.13,3.525634443584129,2.9808000000000003,0.716,5.93440337452197,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
90,us-west-2c,x1.16xlarge,4.5794,1.3154737217750239,1.0535999999999999,0.716,0.7305863984071447,6.669,3.8360000000000003,4.579,3.9139999999999997,3.452,4.121,3.523,1.8659999999999999,1.985
91,ap-northeast-2a,c4.2xlarge,0.7081818181818182,0.17561575062077045,0.11607357456140352,0.054275,0.13781655636545165,0.45399999999999996,0.28800000000000003,0.344,0.294,0.259,0.31,0.265,0.207,0.22
92,ap-northeast-2c,c4.2xlarge,0.9516923076923075,0.16924900897758977,0.10670555555555555,0.053888888888888896,0.15081426187110575,0.45399999999999996,0.28800000000000003,0.344,0.294,0.259,0.31,0.265,0.207,0.22
93,ap-southeast-1a,c4.2xlarge,0.8332,0.2507640553078072,0.19946896551724133,0.13358947368421062,0.1379100927649273,0.462,0.29100000000000004,0.34700000000000003,0.297,0.262,0.312,0.267,0.195,0.207
94,ap-southeast-1b,c4.2xlarge,0.804,0.2541539406781116,0.20741758241758235,0.13255,0.15235086994092026,0.462,0.29100000000000004,0.34700000000000003,0.297,0.262,0.312,0.267,0.195,0.207
95,ap-southeast-2a,c4.2xlarge,0.8290882352941177,0.20681673165829595,0.1774388888888889,0.132325,0.0962481996559826,0.522,0.311,0.371,0.317,0.28,0.33399999999999996,0.285,0.21899999999999997,0.233
96,ap-southeast-2b,c4.2xlarge,0.54315,0.16837656090721928,0.16530740740740743,0.1312,0.036482164939871026,0.522,0.311,0.371,0.317,0.28,0.33399999999999996,0.285,0.21899999999999997,0.233
97,ap-southeast-2c,c4.2xlarge,0.5385,0.1691433526140365,0.16725,0.1323,0.043391225338599404,0.522,0.311,0.371,0.317,0.28,0.33399999999999996,0.285,0.21899999999999997,0.233
98,eu-central-1a,c4.2xlarge,0.7963461538461538,0.22999824738744792,0.22645352564102564,0.13124285714285713,0.08650236673717532,0.45399999999999996,0.293,0.35,0.299,0.264,0.315,0.26899999999999996,0.212,0.225
